id,gdp_name,contract_type,contract_value,project_id,project_name,program_name,portfolio,slt,director_or_general_manager,start_date,end_date,month,year,actual_invoiced,invoice_type
21773,TCS,T&M,,68710,CWP - Flight & Booking Events,Data Events & Services,Revenue_ Loyalty & Data Analytics,Narayanan Krishnakumar,,01-12-2022,31-12-2022,12,22,46,T&M
21774,TCS,T&M,,68710,CWP - Flight & Booking Events,SOA_ Operational Data Governance,Enterprise Technology Services,Matthew Schrag,,01-01-2023,31-01-2023,1,23,743.6,T&M
21775,TCS,T&M,,68710,CWP - Flight & Booking Events,SOA_ Operational Data Governance,Enterprise Technology Services,Narayanan Krishnakumar,,01-12-2022,31-12-2022,12,22,38149,T&M
21776,TCS,T&M,,68725,CWP - Service Quality Monitoring & Automation,Capacity Management and Automation CoE,IT Infrastucture & Reliability,David Smith,,01-12-2022,31-12-2022,12,22,13374,T&M
21777,TCS,T&M,,68725,CWP - Service Quality Monitoring & Automation,Disaster Recovery Preparedness,IT Infrastucture & Reliability,David Smith,,01-12-2022,31-12-2022,12,22,2686,T&M
21778,TCS,T&M,,68725,CWP - Service Quality Monitoring & Automation,Service Quality Monitoring & Automation,IT Infrastucture & Reliability,David Smith,,01-01-2023,31-01-2023,1,23,2391.88,T&M
21779,TCS,T&M,,68725,CWP - Service Quality Monitoring & Automation,Service Quality Monitoring & Automation,IT Infrastucture & Reliability,David Smith,,01-12-2022,31-12-2022,12,22,5577,T&M
21780,TCS,T&M,,68726,CWP - Management Tools Administration,Capacity Management and Automation CoE,IT Infrastucture & Reliability,David Smith,,01-01-2023,31-01-2023,1,23,2633.6,T&M
21781,TCS,T&M,,68726,CWP - Management Tools Administration,Capacity Management and Automation CoE,IT Infrastucture & Reliability,David Smith,,01-12-2022,31-12-2022,12,22,8009,T&M
21782,TCS,T&M,,68726,CWP - Management Tools Administration,Service Quality Monitoring & Automation,IT Infrastucture & Reliability,David Smith,,01-12-2022,31-12-2022,12,22,2974,T&M
21783,TCS,T&M,,68729,CWP - Crisis and Major Incident Management,Crisis and Major Incident Management,IT Infrastucture & Reliability,David Smith,,01-01-2023,31-01-2023,1,23,1710.8,T&M
21784,TCS,T&M,,68729,CWP - Crisis and Major Incident Management,Crisis and Major Incident Management,IT Infrastucture & Reliability,David Smith,,01-12-2022,31-12-2022,12,22,17961,T&M
21785,TCS,T&M,,68729,CWP - Crisis and Major Incident Management,TCC IT Technical Operations,IT Infrastucture & Reliability,David Smith,,01-12-2022,31-12-2022,12,22,5993,T&M
21786,TCS,T&M,,68735,CWP - Disaster Recovery Preparedness,Disaster Recovery Preparedness,IT Infrastucture & Reliability,David Smith,,01-01-2023,31-01-2023,1,23,2066.4,T&M
21787,TCS,T&M,,68735,CWP - Disaster Recovery Preparedness,Disaster Recovery Preparedness,IT Infrastucture & Reliability,David Smith,,01-12-2022,31-12-2022,12,22,6199,T&M
21788,TCS,T&M,,68737,CWP - Network Services Data Center,Network Services Data Center,IT Infrastucture & Reliability,David Smith,,01-01-2023,31-01-2023,1,23,3271.84,T&M
21789,TCS,T&M,,68737,CWP - Network Services Data Center,Network Services Data Center,IT Infrastucture & Reliability,David Smith,,01-12-2022,31-12-2022,12,22,3867,T&M
21790,TCS,T&M,,68740,CWP - Network Service LAN/WAN,Network Service LAN/WAN,IT Infrastucture & Reliability,David Smith,,01-01-2023,31-01-2023,1,23,11673.75,T&M
21791,TCS,T&M,,68740,CWP - Network Service LAN/WAN,Network Service LAN/WAN,IT Infrastucture & Reliability,David Smith,,01-12-2022,31-12-2022,12,22,27168,T&M
21792,TCS,T&M,,68744,CWP - Database Administration,Database Administration,IT Infrastucture & Reliability,David Smith,,01-01-2023,31-01-2023,1,23,1045.36,T&M
21793,TCS,T&M,,68744,CWP - Database Administration,Database Administration,IT Infrastucture & Reliability,David Smith,,01-12-2022,31-12-2022,12,22,5166,T&M
